event_id,event_date,feature_id,event_type,severity,estimated_research_hours_at_risk,root_cause
EV0318,2026-02-09,FEAT006,research_question,critical,6.9,researcher asked whether signal survives stricter validation
EV0319,2025-12-22,FEAT001,restatement,medium,4.0,historical value changed after first availability
EV0320,2025-12-23,FEAT014,restatement,low,1.5,historical value changed after first availability
EV0321,2025-11-17,FEAT009,restatement,high,1.2,historical value changed after first availability
EV0322,2026-01-19,FEAT014,schema_shift,high,8.4,new categorical value appeared without contract update
EV0323,2025-10-23,FEAT007,schema_shift,low,1.7,new categorical value appeared without contract update
EV0324,2025-10-06,FEAT010,research_question,low,3.0,researcher asked whether signal survives stricter validation
EV0325,2026-01-13,FEAT001,missing_spike,medium,2.6,source collection coverage dropped by peer group
EV0326,2025-10-14,FEAT003,schema_shift,low,2.5,new categorical value appeared without contract update
EV0327,2026-01-22,FEAT013,research_question,low,2.8,researcher asked whether signal survives stricter validation
EV0328,2026-01-22,FEAT015,late_delivery,high,7.1,vendor latency exceeded training cutoff
EV0329,2026-02-10,FEAT011,restatement,medium,1.0,historical value changed after first availability
EV0330,2025-10-07,FEAT006,schema_shift,high,3.7,new categorical value appeared without contract update
EV0331,2025-10-15,FEAT012,schema_shift,medium,1.8,new categorical value appeared without contract update
EV0332,2026-01-08,FEAT006,schema_shift,high,1.1,new categorical value appeared without contract update
EV0333,2026-02-11,FEAT002,missing_spike,high,1.2,source collection coverage dropped by peer group
EV0334,2025-11-03,FEAT001,research_question,low,2.3,researcher asked whether signal survives stricter validation
EV0335,2026-02-18,FEAT001,research_question,high,5.6,researcher asked whether signal survives stricter validation
EV0336,2026-02-12,FEAT001,missing_spike,high,1.2,source collection coverage dropped by peer group
EV0337,2026-01-13,FEAT011,schema_shift,critical,11.9,new categorical value appeared without contract update
EV0338,2025-10-30,FEAT006,duplicate_records,high,8.3,publisher resend created duplicate observations
EV0339,2025-12-29,FEAT009,schema_shift,low,1.3,new categorical value appeared without contract update
EV0340,2026-02-19,FEAT005,restatement,high,2.1,historical value changed after first availability
EV0341,2025-11-27,FEAT015,schema_shift,high,1.4,new categorical value appeared without contract update
EV0342,2026-02-12,FEAT008,missing_spike,low,2.1,source collection coverage dropped by peer group
EV0343,2025-11-17,FEAT009,duplicate_records,low,1.2,publisher resend created duplicate observations
EV0344,2026-02-19,FEAT014,restatement,low,1.8,historical value changed after first availability
EV0345,2026-01-02,FEAT005,research_question,medium,3.8,researcher asked whether signal survives stricter validation
EV0346,2026-02-24,FEAT015,duplicate_records,high,6.9,publisher resend created duplicate observations
EV0347,2026-02-09,FEAT004,schema_shift,low,2.7,new categorical value appeared without contract update
EV0348,2026-01-16,FEAT011,late_delivery,high,4.2,vendor latency exceeded training cutoff
EV0349,2025-10-02,FEAT012,research_question,high,3.1,researcher asked whether signal survives stricter validation
EV0350,2026-01-06,FEAT013,late_delivery,medium,1.5,vendor latency exceeded training cutoff
EV0351,2025-12-11,FEAT007,missing_spike,low,1.1,source collection coverage dropped by peer group
EV0352,2025-12-16,FEAT015,late_delivery,high,3.0,vendor latency exceeded training cutoff
EV0353,2025-12-03,FEAT014,schema_shift,high,6.1,new categorical value appeared without contract update
EV0354,2026-01-23,FEAT003,duplicate_records,medium,2.6,publisher resend created duplicate observations
EV0355,2026-01-16,FEAT009,missing_spike,medium,2.6,source collection coverage dropped by peer group
EV0356,2025-11-21,FEAT010,late_delivery,high,3.8,vendor latency exceeded training cutoff
EV0357,2025-10-17,FEAT016,late_delivery,low,0.5,vendor latency exceeded training cutoff
EV0358,2026-01-12,FEAT014,late_delivery,medium,1.0,vendor latency exceeded training cutoff
EV0359,2025-12-19,FEAT012,schema_shift,high,5.6,new categorical value appeared without contract update
EV0360,2025-10-06,FEAT013,schema_shift,high,5.0,new categorical value appeared without contract update
